,Item Number,Weight,Season,Sourced From,Made In,Lifestage,Breed Size,Food Form,Special Diet,name,Ingredients,Reccomendation Rate,Rating,Review Count,Shop Conscious,Packaging Type,Food Texture,Dimensions,Test Type,Administration Form,Product Form,Drug Type,Dog Breed,Grooming Feature,Health Condition,NASC Certified,Age Requirement,Restricted Availability,Toy Feature,Toy Flavor,Material,Farm Animal Type
685806,685806,40 pounds,,United States,United States,Adult,"Small Breeds, Medium Breeds, Large Breeds",Dry Food,High-Protein,"Blue Seal Native Level 4 Dry Dog Food, 40-lb bag","Chicken Meal, Chicken Fat (Mixed Tocopherols Preservative), Brown Rice, Ground Oats, Ground Barley, Fish Meal, Dried Egg, Ground Flaxseed, Rice Bran (stabilized), Plain Dried Beet Pulp, Natural Flavor, Brewer's Liquid Yeast, Yeast Culture, Potassium Chloride, Salt, Calcium Carbonate, DL-Methionine, L-Lysine, Yeast Extract, Choline Chloride, Vitamin E Supplement, Biotin, Reed-Sedge Peat, Zinc Sulfate, Taurine, Selenium Yeast, L-Ascorbyl-2-Polyphosphate (source of Vitamin C), Zinc Proteinate, Manganese Sulfate, Manganese Proteinate, Copper Proteinate, Ferrous Sulfate, Copper Sulfate, Niacin Supplement, Calcium d-Pantothenate, Vitamin A Supplement, Sodium Selenite, Riboflavin Supplement, Thiamine Mononitrate, Pyridoxine Hydrochloride, Vitamin D3 Supplement, Vitamin B12 Supplement, Rosemary Extract, Calcium Iodate, Folic Acid, Mixed Tocopherols & Citric Acid (preservatives).",100.0,5.0,2.0,,,,,,,,,,,,,,,,,,
574710,574710,40 pounds,,N/A,United States,Adult,Large Breeds,Dry Food,N/A,"Wholesomes High Energy 26/18 Dry Dog Food, 40-lb bag","Chicken Meal (Natural Source of Glucosamine and Chondroitin), Brown Rice, Peas, Chicken Fat (Preserved with Mixed Tocopherols), Rice Bran, Whitefish Meal, Dried Beet Pulp, Dried Egg, Flaxseed, Rice, Potassium Chloride, L-Threonine, Salt, Taurine, Choline Chloride, Vitamins (Vitamin E Supplement, Niacin, Calcium Pantothenate, Vitamin A Supplement, Riboflavin Supplement, Thiamine Mononitrate, Pyridoxine Hydrochloride, Biotin, Vitamin B12 Supplement, Vitamin D3 Supplement, Folic Acid), Minerals (Zinc Sulfate, Ferrous Sulfate, Copper Sulfate, Manganese Sulfate, Zinc Proteinate, Copper Proteinate, Manganese Proteinate, Sodium Selenite, Calcium Iodate, Cobalt Carbonate), Rosemary Extract.",100.0,5.0,1.0,,,,,,,,,,,,,,,,,,
263279,263279,8 pounds,,,,Adult,"Large Breeds, Medium Breeds, Small Breeds, All Breeds","Dry Food, Food Topping","High-Protein, Low Glycemic, Weight Control, Gluten Free",Ketogenic Pet Food Keto Kibble Dog & Cat Dry Food,"Chicken Meal, Organic Chicken, Chicken Fat (preserved with Mixed Tocopherols), Beet Fiber, Meat Protein Isolate, Gelatin, Natural Flavor, Apple Fiber, Flaxseeds, Coconut Oil, Avocado Oil, Rice Bran Oil, Taurine, Calcium Carbonate, Calcium Propionate (a preservative), Choline Chloride, Fish Oil, Yeast Extract, Citric Acid (a preservative), Inulin, Mixed Tocopherols (a preservative), Rosemary Extract, Yeast Culture, Minerals (Potassium Chloride, Zinc Proteinate, Zinc Sulfate, Ferrous Sulfate, Iron Proteinate, Copper Sulfate, Copper Proteinate, Manganese Sulfate, Manganese Proteinate, Sodium Selenite, Calcium Iodate), Vitamins (Ascorbic Acid [source of Vitamin C], Vitamin E Supplement, Niacin Supplement, Calcium Pantothenate, Vitamin A Supplement, Thiamine Mononitrate, Pyridoxine Hydrochloride, Riboflavin Supplement, Vitamin D3 Supplement, Biotin, Vitamin B12 Supplement, Folic Acid), Dried Aspergillus oryzae Fermentation Extract, Dried Enterococcus faecium Fermentation Product, Dried Lactobacillus casei Fermentation Product, Dried Lactobacillus acidophilus Fermentation Product, Dried Bacillus subtilis Fermentation Extract, Dried Lactobacillus plantarum Fermentation Product, Dried Lactobacillus lactis Fermentation Product.",80.0,4.0,15.0,,,,,,,,,,,,,,,,,,
293648,293648,,N/A,,,Puppy,"All Breeds, Small Breeds, Medium Breeds, Large Breeds","Dry Food, Wet Food","High-Protein, With Grain",Bundle: Purina Pro Plan Puppy Chicken & Rice Formula Dry + Canned Dog Food,,100.0,5.0,1.0,,Can,Pate,,,,,,,,,,,,,,,
46903,46903,15 pounds,N/A,Various,United States,Puppy,"Large Breeds, Giant Breeds",Dry Food,"No Corn No Wheat No Soy, With Grain, Natural",Blue Buffalo Life Protection Formula Large Breed Puppy Chicken & Brown Rice Recipe Dry Dog Food,"Deboned Chicken, Chicken Meal, Brown Rice, Oatmeal, Barley, Pea Protein, Peas, Chicken Fat (preserved with Mixed Tocopherols), Fish Meal (source of Omega 3 Fatty Acids), Natural Flavor, Flaxseed (source of Omega 6 Fatty Acids), Dried Tomato Pomace, Dried Egg Product, Dicalcium Phosphate, Fish Oil (source of ARA- Arachidonic Acid and DHA-Docosahexaenoic Acid), Salt, Direct Dehydrated Alfalfa Pellets, Choline Chloride, Dried Chicory Root, Potassium Chloride, Potatoes, Pea Fiber, Alfalfa Nutrient Concentrate, DL-Methionine, Calcium Carbonate, preserved with Mixed Tocopherols, Vitamin E Supplement, Sweet Potatoes, Carrots, Garlic, L-Carnitine, Zinc Amino Acid Chelate, Zinc Sulfate, Vegetable Juice for color, Ferrous Sulfate, Iron Amino Acid Chelate, Blueberries, Cranberries, Barley Grass, Parsley, Turmeric, Dried Kelp, Yucca Schidigera Extract, Niacin (Vitamin B3), Calcium Pantothenate (Vitamin B5), L-Ascorbyl-2-Polyphosphate (source of Vitamin C), L-Lysine, Copper Sulfate, Biotin (Vitamin B7), Vitamin A Supplement, Copper Amino Acid Chelate, Manganese Sulfate, Taurine, Manganese Amino Acid Chelate, Thiamine Mononitrate (Vitamin B1), Riboflavin (Vitamin B2), Vitamin D3 Supplement, Vitamin B12 Supplement, Pyridoxine Hydrochloride (Vitamin B6), Calcium Iodate, Dried Yeast, Dried Enterococcus faecium fermentation product, Dried Lactobacillus acidophilus fermentation product, Dried Aspergillus niger fermentation extract, Dried Trichoderma longibrachiatum fermentation extract, Dried Bacillus subtilis fermentation extract, Folic Acid (Vitamin B9), Sodium Selenite, Oil of Rosemary.",84.0,4.2,793.0,,,,,,,,,,,,,,,,,,
156014,156014,20 pounds,N/A,,,Adult,"Small Breeds, Medium Breeds, Large Breeds, All Breeds",Dry Food,"Grain-Free, No Corn No Wheat No Soy, Limited Ingredient Diet, Non-GMO, Chicken-Free",Tender & True Limited Ingredient Grain-Free Salmon & Sweet Potato Recipe Dry Dog Food,"Salmon, Whitefish meal, Dried sweet potato, Tapioca starch, Dried potato, Pea flour, Flaxseed meal, Dried peas, Coconut oil, Dried beet pulp, Potato starch, Fish oil (preserved with  mixed tocopherols), Potato flour, Canola oil, Natural flavors, Sodium phosphate, Lecithin, Mixed tocopherols (preservative), Choline chloride, Taurine, Potassium chloride, Salt, Ascorbic acid, Vitamin E supplement, Zinc proteinate, zinc sulfate, Manganous oxide, Manganese proteinate, Inositol, Ferrous sulfate, Niacin, Vitamin B12 supplement, Zinc oxide, Iron proteinate, Thiamine mononitrate, Biotin, Riboflavin supplement, Calcium pantothenate, Pyridoxine hydrochloride, Sodium selenite, Copper sulfate, Vitamin A supplement, Copper proteinate, Citric acid (preservative), Vitamin D3 supplement, Folic acid, Potassium iodide.",90.0,4.6,30.0,Non-GMO,,,,,,,,,,,,,,,,,
228739,228739,4 pounds,N/A,United States,United States,All Lifestages,"Small Breeds, Medium Breeds, Large Breeds",Dry Food,"Grain-Free, Limited Ingredient Diet, High-Protein, Low Glycemic, No Corn No Wheat No Soy, Premium",BIXBI RAWBBLE Fresh Chicken Recipe Limited Ingredient Grain-Free Dry Dog Food,"Deboned Chicken, Whole Yellow Peas, Egg, Whole Red Lentils, Chicken Fat, Coconut Flour, Natural Chicken Flavor, Dicalcium Phosphate, Tricalcium Phosphate, Salt, Choline Chloride, Pumpkin, Salmon Oil, Potassium Chloride, Dandelion Greens, Raspberries, Taurine, L-Carnitine, Minerals (Zinc Proteinate, Iron Proteinate, Copper Proteinate, Manganese Proteinate, Sodium Selenite, Calcium Iodate), Vitamins (Vitamin E Supplement, Niacin Supplement, D-Calcium Pantothenate, Riboflavin Supplement, Vitamin A Supplement, Thiamine Mononitrate, Pyridoxine Hydrochloride, Vitamin B12 Supplement, Folic Acid, Vitamin D3 Supplement), Mixed Tocopherols (A Preservative),  Rosemary Extract.
Deboned Chicken, Whole Yellow Peas, Egg, Whole Red Lentils, Chicken Fat, Coconut Flour, Natural Chicken Flavor, Dicalcium Phosphate, Tricalcium Phosphate, Salt, Choline Chloride, Pumpkin, Salmon Oil, Potassium Chloride, Dandelion Greens, Raspberries, Taurine, L-Carnitine, Minerals (Zinc Proteinate, Iron Proteinate, Copper Proteinate, Manganese Proteinate, Sodium Selenite, Calcium Iodate), Vitamins (Vitamin E Supplement, Niacin Supplement, D-Calcium Pantothenate, Riboflavin Supplement, Vitamin A Supplement, Thiamine Mononitrate, Pyridoxine Hydrochloride, Vitamin B12 Supplement, Folic Acid, Vitamin D3 Supplement), Mixed Tocopherols (A Preservative),  Rosemary Extract.",89.0,4.1,9.0,,,,,,,,,,,,,,,,,,
75446,75446,10 pounds,N/A,Various,Various,Adult,"Small Breeds, Extra Small Breeds",Dry Food,With Grain,"Royal Canin Breed Health Nutrition West Highland White Terrier Adult Dry Dog Food, 10-lb bag","Brewers Rice, Chicken By-Product Meal, Corn, Chicken Fat, Brown Rice, Natural Flavors, Pork Meal, Wheat, Chicory, Vegetable Oil, Fish Oil, Sodium Silico Aluminate, Calcium Carbonate, Potassium Chloride, Salt, Flaxseed, Monocalcium Phosphate, Fructooligosaccharides, Dl-Methionine, Sodium Tripolyphosphate, Taurine, Vitamins [Dl-Alpha Tocopherol Acetate (Source of Vitamin E), Inositol, Niacin Supplement, L-Ascorbyl-2-Polyphosphate (Source of Vitamin C), D-Calcium Pantothenate, Biotin, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin Supplement, Thiamine Mononitrate (Vitamin B1), Vitamin A Acetate, Folic Acid, Vitamin B12 Supplement, Vitamin D3 Supplement, Menadione Sodium Bisulfite Complex], L-Lysine, Choline Chloride, Magnesium Oxide, Marigold Extract (Tagetes Erecta L.), Trace Minerals [Zinc Proteinate, Ferrous Sulfate, Zinc Oxide, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite], Glucosamine Hydrochloride, Tea, L-Carnitine, Chondroitin Sulfate, Rosemary Extract, Preserved with Mixed Tocopherols and Citric Acid.",94.0,4.7,63.0,,,,,,,,,West Highland White Terrier (Westie),,,,,,,,,
291353,291353,4 pounds,,Various,United States,Adult,"Small Breeds, Medium Breeds, Giant Breeds",Dry Food,"Sensitive Digestion, No Corn No Wheat No Soy, High Fiber, With Grain, Non-GMO, Premium",ACANA Rescue Care For Adopted Dogs Poultry Sensitive Digestion Dry Dog Food,"Chicken, Chicken Meal, Oat Groats, Whole Green Peas, Whole Red Lentils, Chicken Fat, Whole Yellow Peas, Turkey Meal, Chicken Bone Broth, Eggs, Fish Oil, Chicken Liver, Whole Oats, Natural Chicken Flavor, Whole Green Lentils, Whole Chickpeas, Pea Starch, Chicken Heart, Whole Pumpkin, Salt, Dried Kelp, Zinc Proteinate, Choline Chloride, Taurine, Ascorbic Acid, Mixed Tocopherols (Preservative), Vitamin E Supplement, Vitamin A Supplement, Dried Chicory Root, Dl-Methionine, Chamomile, L-Tryptophan, Collard Greens, Whole Pears, Whole Apples, Selenium Yeast, Hydrolyzed Yeast, Dried Brewers Yeast, Copper Proteinate, Niacin, Thiamine Mononitrate, Riboflavin, Calcium Pantothenate, Pyridoxine Hydrochloride, Folic Acid, Vitamin B12 Supplement, Rosemary Extract, Citric Acid (Preservative), Dried Lactobacillus Acidophilus Fermentation Product, Dried Bifidobacterium Animalis Fermentation Product, Dried Lactobacillus Casei Fermentation Product.",92.0,4.3,12.0,Non-GMO,,,,,,,,,,,,,,,,,
794894,794894,25 pounds,N/A,N/A,N/A,Adult,Large Breeds,Dry Food,With Grain,"Hill's Science Diet Adult Perfect Weight Large Breed Chicken Dry Dog Food, 25-lb bag","Chicken, Cracked Pearled Barley, Brown Rice, Pea Fiber, Corn Gluten Meal, Chicken Meal, Dried Tomato Pomace, Oat Fiber, Chicken Liver Flavor, Flaxseed, Dried Beet Pulp, Coconut Oil, Pork Flavor, Lactic Acid, Potassium Chloride, L-Lysine, DL-Methionine, Carrots, Iodized Salt, Lipoic Acid, vitamins (Vitamin E Supplement, L-Ascorbyl-2-Polyphosphate (source of Vitamin C), Niacin Supplement, Thiamine Mononitrate, Vitamin A Supplement, Calcium Pantothenate, Riboflavin Supplement, Biotin, Vitamin B12 Supplement, Pyridoxine Hydroc hloride, Folic Acid, Vitamin D3 Supplement), Choline Chloride, minerals (Manganese Sulfate, Ferrous Sulfate, Zinc Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite), Taurine, Mixed Tocopherols for freshness, Natural Flavors, L-Carnitine, Beta-Carotene, Apples, Broccoli, Cranberries, Green Peas.",86.0,4.6,59.0,,,,,,,,,,,,,,,,,,
680718,680718,5 pounds,,Canada,Canada,Adult,"Small Breeds, Medium Breeds, Large Breeds",Dry Food,"Grain-Free, High Fiber",KASIKS Cage Free Duck Meal Formula Grain-Free Dry Dog Food,Duck Meal  Chickpeas  lentils  Peas  Chicken Fat (preserved with mixed tocopherols)  Tomato Pomace  Brewer's Dried Yeast  Potassium Chloride  Choline Chloride  DL Methionine  Minerals: (Zinc Proteinate  Iron Proteinate  Calcium Carbonate  Manganese Proteinate  Copper Proteinate  Selenium Yeast  Calcium Iodate)  Vitamins :(Vitamin E Supplement  Niacin  Thiamine Mononitrate  D-pantothenic Acid  Vitamin A Supplement  Riboflavin  Pyridoxine Hydrochloride  Biotin  Vitamin B12 Supplement  Vitamin D3 Supplement  Folic Acid)  Threonine  Salt  Calcium Propionate  Taurine  Blueberries  Raspberries  Cranberries  Rosemary extract  Coconut  Kale,,,,,,,,,,,,,,,,,,,,,
347659,347659,24 pounds,,Various,United States,Puppy,"Small Breeds, Medium Breeds, Large Breeds, All Breeds",Dry Food,"Sensitive Digestion, High-Protein, No Corn No Wheat No Soy, Natural, With Grain",Wellness CORE Digestive Health Puppy Chicken & Brown Rice Dry Dog Food,"Deboned Chicken, Chicken Meal, Brown Rice, Barley, Oat Groats, Turkey Meal, Chicken Fat, Dried Plain Beet Pulp, Flaxseed, Marine Microalgae Oil, Pumpkin, Brewers Dried Yeast, Cranberries,  Natural Chicken Flavor, Apples, Pomegranates, Potassium Chloride, Inulin, Choline Chloride, Vitamin E Supplement, Taurine, Papayas, Blueberries, Mixed Tocopherols added to preserve freshness, Calcium Carbonate, Niacin, Zinc Proteinate,  Zinc Sulfate, Ferrous Sulfate, Iron Proteinate, Yucca Schidigera Extract,  Vitamin A Supplement, Thiamine Mononitrate, Copper Sulfate, d-Calcium Pantothenate,  Ground Cinnamon, Ground Fennel, Ground Peppermint, Copper Proteinate, Sodium Selenite, Pyridoxine Hydrochloride, Manganese Sulfate, Manganese Proteinate, Dried Enterococcus faecium Fermentation Product, Ascorbic Acid (Vitamin C), Riboflavin, Dried Bacillus coagulans Fermentation Product, Biotin, Vitamin D3 Supplement, Dried Lactobacillus bulgaricus Fermentation Product, Dried Enterococcus thermophilus Fermentation Product, Vitamin B12 Supplement, Calcium Iodate, Folic Acid, Dried Bacillus licheniformis Fermentation Product, Dried Bacillus subtilis Fermentation Product, Dried Aspergillus oryzae Fermentation Product, Dried Trichoderma reesei Fermentation Product, Dried Rhizopus oryzae Fermentation Product, Dried Lactobacillus acidophilus Fermentation  Product, Dried Lactobacillus casei Fermentation Product, Rosemary Extract, Green Tea Extract, Spearmint Extract.",93.0,4.6,41.0,Natural,,,,,,,,,,,,,,,,,
342147,342147,3.3 pounds,,Ukraine,Ukraine,Puppy,"Small Breeds, Medium Breeds, Large Breeds",Dry Food,"Natural, No Corn No Wheat No Soy, High Fiber, Sensitive Digestion, Non-GMO",Optimeal Puppy Vital Nurture Turkey & Oatmeal Recipe Dry Dog Food,"Deboned Turkey, Oats, Turkey Meal, Barley, Chicken Meal, Rice, Poultry Fat (preserved with Mixed Tocopherols), Pea Protein, Natural Flavor, Flaxseed, Potato Protein, Dried Plain Beet Pulp, Salmon Oil, Dicalcium Phosphate, Brewer's Dried Yeast, Calcium Carbonate, Salt, Choline Chloride, L-threonine, Dried Chicory Root, Sodium Hexametaphosphate, Potassium Chloride, Vitamin E Supplement, Taurine, Dried Cranberries, Dried Blueberries, Zinc Sulfate, Dried Pot Marigold, Rosemary Extract, Chamomile, Turmeric, Fructooligosaccharide, Ascorbic Acid (source of Vitamin C), Thyme, Yucca Schidigera Extract, Iron Sulfate, Calcium Pantothenate, Niacin Supplement, Biotin, Riboflavin Supplement, Copper Sulfate, Vitamin A Acetate, Vitamin B12 Supplement, Thiamine Mononitrate, Pyridoxine Hydrochloride, Potassium Iodide, Sodium Selenite, Folic Acid, Vitamin D3 Supplement.",100.0,5.0,2.0,"Natural, Non-GMO",,,,,,,,,,,,,,,,,
85787,85787,25 pounds,N/A,Canada,Canada,Adult,"Large Breeds, Giant Breeds",Dry Food,"Low Glycemic, Non-GMO, With Grain",Horizon Complete Large Breed Adult Dry Dog Food,"Chicken Meal, Whole Grain Barley, Whole Grain Oats, Chicken, Whole Grain Rye, Chicken Fat (Preserved with Mixed Tocopherols, Source of Vitamin E,) Pea Fiber, Flaxseed, Egg Product, Salmon Oil (Preserved with Mixed Tocopherols, Source of Vitamin E), Carrots, Apples, Alfalfa Meal, Calcium Carbonate, Broccoli, Bok Choy, Cabbage, Blueberries, L-Lysine, Choline Chloride, Salt, Dicalcium Phosphate, Fructooligosaccharides, Dl-Methionine, Yucca Schidigera Extract, Glucosamine Hydrochloride, Chondroitin Sulfate, Dried Aspergillus Niger Fermentation Extract, Dried Aspergillus Oryzae Fermentation Extract, Pineapple, Dried Trichoderma Longibrachiatum Fermentation Extract, Dried Rhizopus Oryzae Fermentation Extract, Dried Enterococcus Faecium Fermentation Product, Dried Lactobacillus Casei Fermentation Product, Dried Lactobacillus Acidophilus Fermentation Product, Dried Bifidobacterium Bifidum Fermentation Product, Dried Lactobacillus Plantarum Fermentation Product, Vitamin A Acetate, Vitamin D3 Supplement, Vitamin E, Vitamin B12 Supplement, Riboflavin, Niacin, Folic Acid, Pyridoxine Hydrochloride Thiamine Mononitrate, D-Calcium Pantothenate, Biotin, L-Ascorbyl-2-Polyphosphate (Source of Vitamin C), Ferrous Sulphate, Iron Proteinate, Zinc Sulphate, Zinc Proteinate, Manganous Oxide, Maganese Proteinate, Copper Sulphate, Copper Proteinate, Calcium Iodate, Sodium Selenite, Magnesium Oxide.",56.0,3.2,16.0,Non-GMO,,,,,,,,,,,,,,,,,
76138,76138,12 pounds,N/A,Various,N/A,Adult,"Extra Small Breeds, Small Breeds",Dry Food,"Grain-Free, No Corn No Wheat No Soy","Nature's Recipe Small Breed Grain-Free Chicken, Sweet Potato & Pumpkin Recipe Dry Dog Food","Chicken, Chicken Meal, Sweet Potatoes, Tapioca Starch, Canola Meal, Garbanzo Beans, Peas, Chicken Fat (preserved With Mixed Tocopherols), Pumpkin, Natural Flavor, Salt, Potassium Chloride, Taurine, Dl-methionine, Vitamins (vitamin E Supplement, Ascorbic Acid (source Of Vitamin C), Niacin, Vitamin A Supplement, Thiamine Mononitrate , D-calcium Pantothenate, Riboflavin Supplement, Pyridoxine Hydrochloride, Vitamin B12 Supplement, Folic Acid, Biotin, Vitamin D3 Supplement), Minerals (ferrous Sulfate, Zinc Sulfate, Copper Sulfate, Sodium Selenite, Manganese Sulfate, Calcium Iodate), Choline Chloride, Lactic Acid, Citric Acid (used As A Preservative), Rosemary Extract.",94.0,4.6,456.0,,,,,,,,,,,,,,,,,,
933358,933358,,N/A,,,Adult,"All Breeds, Small Breeds, Medium Breeds, Large Breeds","Dry Food, Wet Food","With Grain, Natural",Bundle: Purina ONE Natural SmartBlend Lamb & Rice Formula Dry Food + +Plus Adult Tender Cuts in Gravy Healthy Weight Lamb & Brown Rice Entree Canned Dog Food,,,,,Natural,Can,Chunks in Gravy,,,,,,,,,,,,,,,
261250,261250,22 pounds,,,,Adult,"Small Breeds, Medium Breeds, Large Breeds, All Breeds",Dry Food,"Grain-Free, No Corn No Wheat No Soy, Gluten Free, Natural, Sensitive Digestion, Chicken-Free, Weight Control, Premium",Now Fresh Grain-Free Adult Fish Recipe Dry Dog Food,"De-Boned Trout, Whole Dried Egg, Peas, Potatoes, Pea Flour, Potato Flour, Flaxseed, Canola Oil (Preserved With Mixed Tocopherols), Natural Flavor, De-Boned Salmon, De-Boned Herring, Calcium Carbonate, Monocalcium Phosphate, Apples, Coconut Oil (Preserved With Mixed Tocopherols), Tomato, Alfalfa, Pea Fiber, Carrots, Pumpkin, Sweet Potatoes, Squash, Bananas, Blueberries, Cranberries, Blackberries, Pomegranate, Papayas, Lentils, Broccoli, Dried Chicory Root, Sodium Chloride, Choline Chloride, Vitamins (Vitamin E Supplement, L-Ascorbyl-2-Polyphosphate (A Source Of Vitamin C), Niacin, D-Calcium Pantothenate, Vitamin A Supplement, Thiamine Mononitrate, Riboflavin, Beta-Carotene, Vitamin B12 Supplement, Biotin, Pyridoxine Hydrochloride, Vitamin D3 Supplement, Folic Acid), Minerals (Ferrous Sulphate, Zinc Proteinate, Iron Proteinate, Selenium Yeast, Zinc Oxide, Copper Sulphate, Manganese Proteinate, Copper Proteinate, Manganous Oxide, Calcium Iodate), Taurine, Dried Lactobacillus Acidophilus Fermentation Product, Dried Enterococcus Faecium Fermentation Product, Dl-Methionine, L-Lysine, Potassium Chloride, L-Carnitine, Dried Rosemary.",95.0,4.7,20.0,Natural,,,,,,,,,,,,,,,,,
277107,277107,11 pounds,,United States,United States,Adult,"Extra Small Breeds, Small Breeds",Dry Food,With Grain,Natural Balance Original Ultra Chicken & Barley Formula Small Breed Bites Dry Dog Food,"Chicken, Chicken Meal, Pearled Barley, Oat Groats, Dried Peas, Chicken Fat (Preserved With Mixed Tocopherols), Brown Rice, Carrots, Brewers Dried Yeast, Flaxseed, Natural Flavor, Dicalcium Phosphate, Dl-Methionine, Menhaden Fish Oil (Preserved With Mixed Tocopherols), Salt, Potassium Chloride, Taurine, Vitamins (Vitamin E Supplement, Niacin, Ascorbic Acid (Source Of Vitamin C), Thiamine Mononitrate, Pantothenic Acid, Vitamin A Supplement, Riboflavin Supplement, Pyridoxine Hydrochloride, Folic Acid, Biotin, Vitamin B12 Supplement, Vitamin D3 Supplement), Spinach, Dried Tomato Pomace, Minerals (Zinc Proteinate, Zinc Sulfate, Ferrous Sulfate, Iron Proteinate, Copper Sulfate, Copper Proteinate, Manganese Sulfate, Manganese Proteinate, Sodium Selenite, Calcium Iodate), Cranberries, Blueberries, L-Ascorbyl-2-Polyphosphate, L-Tryptophan, Kelp, Choline Chloride, L-Threonine, Mixed Tocopherols (Used As A Preservative), Lactic Acid, L-Lysine Monohydrochloride, Yucca Schidigera Extract, L-Carnitine, Citric Acid (Used As A Preservative), Rosemary Extract, Green Tea Extract, Spearmint Extract.",100.0,4.8,6.0,,,,,,,,,,,,,,,,,,
121306,121306,24 pounds,N/A,Various,N/A,Adult,"Small Breeds, Medium Breeds, Large Breeds, All Breeds",Dry Food,"Limited Ingredient Diet, Grain-Free, No Corn No Wheat No Soy, Chicken-Free, High-Protein, Sensitive Digestion",American Journey Limited Ingredient Duck & Sweet Potato Recipe Grain-Free Dry Dog Food,"Deboned Duck, Duck Meal, Peas, Sweet Potatoes, Chickpeas, Natural Flavor, Dried Plain Beet Pulp, Canola Meal, Canola Oil (Preserved with Mixed Tocopherols), Flaxseed, Pea Starch, Fish Oil, Dicalcium Phosphate, Salt, Sunflower Oil, Vitamins (Vitamin E Supplement, Niacin Supplement, d-Calcium Pantothenate, Riboflavin Supplement, Vitamin A Supplement, Thiamine Mononitrate, Pyridoxine Hydrochloride, Vitamin B12 Supplement, Vitamin D3 Supplement, Folic Acid), Choline Chloride, Minerals (Ferrous Sulfate, Zinc Proteinate, Zinc Sulfate, Iron Proteinate, Copper Sulfate, Sodium Selenite, Copper Proteinate, Manganese Sulfate, Manganese Proteinate, Calcium Iodate), Taurine, Mixed Tocopherols (Preservative), Potassium Chloride, Rosemary Extract.",87.0,4.3,771.0,,,,5.5 x 15.75 x 22 inches,,,,,,,,,,,,,,
50260,50260,13 pounds,N/A,Various,Various,Senior,"Small Breeds, Extra Small Breeds",Dry Food,With Grain,Royal Canin Size Health Nutrition Small Adult 8+ Dry Dog Food,"Corn, Chicken By-Product Meal, Brewers Rice, Corn Gluten Meal, Chicken Fat, Brown Rice, Brewers Rice Flour, Natural Flavors, Dried Plain Beet Pulp, Wheat Gluten, Fish Oil, Calcium Carbonate, Potassium Chloride, Fructooligosaccharides, Sodium Tripolyphosphate, Dl-Methionine, Choline Chloride, L-Lysine, Vitamins [Dl-Alpha Tocopherol Acetate (Source Of Vitamin E), L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), Biotin, D-Calcium Pantothenate, Vitamin A Acetate, Pyridoxine Hydrochloride (Vitamin B6), Niacin Supplement, Folic Acid, Thiamine Mononitrate (Vitamin B1), Vitamin B12 Supplement, Riboflavin Supplement, Vitamin D3 Supplement], Salt, Magnesium Oxide, Taurine, Trace Minerals [Zinc Proteinate, Zinc Oxide, Ferrous Sulfate, Manganese Proteinate, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], Gla Safflower Oil, Marigold Extract (Tagetes Erecta L.), Green Tea Extract, L-Carnitine, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid.",97.0,4.8,153.0,,,,,,,,,,,,,,,,,,
79673,79673,26 pounds,N/A,United States,United States,Adult,"Small Breeds, Medium Breeds, Large Breeds, All Breeds",Dry Food,Grain-Free,Triumph Free Spirit Grain-Free Deboned Turkey & Sweet Potato Recipe Dry Dog Food,"Deboned Turkey, Turkey Meal, Tapioca Starch, Sweet Potatoes, Garbanzo Beans, Chicken Meal, Peas, Pea Starch, Chicken Fat (Preserved With Mixed Tocopherols), Flaxseed Meal, Dried Plain Beet Pulp, Dried Yeast, Menhaden Fish Meal, Natural Chicken Flavor, Salt, Choline Chloride, Potassium Chloride, Calcium Carbonate, Dried Chicory Root, Dried Blueberries, Dried Cranberries, Avocado, Dried Apples, Dried Carrots, Parsley, Papaya, Spinach, Kale Powder, Taurine, Dl- Methionine, Minerals (Zinc Sulfate, Copper Sulfate, Magnesium Sulfate, Calcium Iodate, Sodium Selenite), Vitamins (Choline Chloride, Vitamin A Supplement, Vitamin D3 Supplement, Vitamin E Supplement, Niacin, D-Calcium Pantothenate, Pyridoxine Hydrochloride (Source Of Vitamin B6), Riboflavin Supplement, Folic Acid, Vitamin B12 Supplement), Dried Lactobacillus Acidophilus Fermentation Product, Dried Lactobacillus Plantarum Fermentation Product, Dried Lactobacillus Reuteri Fermentation Product, Dried Bifidobacterium Animalis Fermentation Product, Dried Enterococcus Faecium Fermentation Product.",83.0,4.2,24.0,,,,,,,,,,,,,,,,,,
